date,week,weekday,fatals
2017-08-27,35,Sunday,4
2017-08-28,35,Monday,5
2017-08-29,35,Tuesday,6
2017-08-30,35,Wednesday,6
2017-08-31,35,Thursday,6
2017-09-01,35,Friday,9
2017-09-02,35,Saturday,8
2017-09-03,36,Sunday,15
2017-09-04,36,Monday,7
2017-09-05,36,Tuesday,8
2017-09-06,36,Wednesday,7
2017-09-07,36,Thursday,12
2017-09-08,36,Friday,9
2017-09-09,36,Saturday,4
2017-09-10,37,Sunday,6
2017-09-11,37,Monday,4
2017-09-12,37,Tuesday,6
2017-09-13,37,Wednesday,2
2017-09-14,37,Thursday,4
2017-09-15,37,Friday,4
2017-09-16,37,Saturday,4
2017-09-17,38,Sunday,10
2017-09-18,38,Monday,7
2017-09-19,38,Tuesday,8
2017-09-20,38,Wednesday,6
2017-09-21,38,Thursday,5
2017-09-22,38,Friday,9
2017-09-23,38,Saturday,7
