fips,date,latitude,longitud,fatals
12031,2017-09-08,30.2474,-81.5407,1
12095,2017-09-07,28.51796389,-81.41926667,1
12097,2017-09-08,28.26148889,-81.34221111,1
12095,2017-09-07,28.573275,-81.18188056,1
12031,2017-09-08,30.22845833,-81.84293889,1
12033,2017-09-07,30.56341111,-87.3797,2
12023,2017-09-10,30.13608333,-82.71024444,1
12075,2017-09-08,29.56196111,-82.87318056,1
12045,2017-09-09,30.06197778,-85.25815,2
12031,2017-09-12,30.37913056,-81.76085556,1
12031,2017-09-07,30.39993056,-81.74076111,1
12005,2017-09-10,30.15676389,-85.6355,1
12111,2017-09-11,27.51623056,-80.44788889,1
12083,2017-09-12,29.02606944,-82.12029444,2
12101,2017-09-07,28.30813056,-82.66615,1
12049,2017-09-10,27.48831389,-81.76585556,2
12073,2017-09-08,30.42301667,-84.24898333,1
12101,2017-09-07,28.19993889,-82.64678889,1
12101,2017-09-10,28.32404444,-82.69583889,1
12086,2017-09-11,25.86673889,-80.32331944,1
12081,2017-09-08,27.39658056,-82.56328611,2
12081,2017-09-08,27.58978611,-82.24605833,2
12071,2017-09-13,26.48524167,-81.94330278,1
12071,2017-09-07,26.5089,-81.95595,1
12097,2017-09-07,28.13113056,-81.07623056,1
12077,2017-09-09,30.38643889,-84.71040278,1
12081,2017-09-12,27.58766944,-82.4255,1
12053,2017-09-09,28.52425,-82.49176111,1
12105,2017-09-11,28.01073333,-81.75111111,1
12019,2017-09-11,30.10211944,-81.72336944,1
12086,2017-09-07,25.6876,-80.34971111,1
12101,2017-09-07,28.36670833,-82.69068889,1
12083,2017-09-12,29.02935,-82.0448,1
12019,2017-09-12,30.16451111,-81.74728611,1
12095,2017-09-10,28.34871111,-81.49691667,1
12009,2017-09-07,28.15358333,-80.58482778,1
12113,2017-09-13,30.65893611,-86.87985833,1
